Part Number;Product Image;Package Type;Package Form;Package Dimensions (L x W x H)(mm);Peak Wavelength(nm);Radiant Intensity(mW/sr);Angle of Half Intensity(±°);Rise Time(ns);Radiant Power(mW);AEC-Qualified;Image path;Datasheet part;3d model part
VSMB2000X01;Enlarge;surface mount;Reverse gullwing;2.3 x 2.3 x 2.8;940;40;12;15;;;image/ir-emitting-diodes/81930.png;Datasheet\/ir-emitting-diodes/VSMB2000X01\VSMB2000X01.pdf;None
VSMB2020X01;Enlarge;surface mount;Gullwing;2.3 x 2.3 x 2.8;940;40;12;15;;;image/ir-emitting-diodes/81930.png;Datasheet\/ir-emitting-diodes/VSMB2020X01\VSMB2020X01.pdf;None
VSMB294008G;Enlarge;surface mount;Gullwing;2.3 x 2.3 x 2.8;940;70;7;15;;No;image/ir-emitting-diodes/84228.png;Datasheet\/ir-emitting-diodes/VSMB294008G\VSMB294008G.pdf;None
VSMB294008RG;Enlarge;surface mount;Reverse gullwing;2.3 x 2.3 x 2.8;940;70;7;15;;No;image/ir-emitting-diodes/84228.png;Datasheet\/ir-emitting-diodes/VSMB294008RG\VSMB294008RG.pdf;None
VSMB2943GX01;Enlarge;surface mount;Gullwing;2.3 x 2.3 x 2.55;940;20;25;15;;Yes;image/ir-emitting-diodes/83486.png;Datasheet\/ir-emitting-diodes/VSMB2943GX01\VSMB2943GX01.pdf;None
VSMB2943RGX01;Enlarge;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;940;20;25;15;;Yes;image/ir-emitting-diodes/83486.png;Datasheet\/ir-emitting-diodes/VSMB2943RGX01\VSMB2943RGX01.pdf;None
VSMB2943SLX01;Enlarge;surface mount;Side view lens;2.3 x 2.55 x 2.3;940;20;25;15;;Yes;image/ir-emitting-diodes/83479.png;Datasheet\/ir-emitting-diodes/VSMB2943SLX01\VSMB2943SLX01.pdf;None
VSMB2948G;Enlarge;surface mount;Gullwing;2.3 x 2.3 x 2.55;940;20;25;15;;No;image/ir-emitting-diodes/84201.png;Datasheet\/ir-emitting-diodes/VSMB2948G\VSMB2948G.pdf;None
VSMB2948RG;Enlarge;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;940;20;25;15;;No;image/ir-emitting-diodes/84201.png;Datasheet\/ir-emitting-diodes/VSMB2948RG\VSMB2948RG.pdf;None
VSMB2948SL;Enlarge;surface mount;Side view lens;2.3 x 2.55 x 2.3;940;20;25;15;;No;image/ir-emitting-diodes/83498.png;Datasheet\/ir-emitting-diodes/VSMB2948SL\VSMB2948SL.pdf;None
VSMB3940X01;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;935;4.2;60;15;;Yes;image/ir-emitting-diodes/80307.png;Datasheet\/ir-emitting-diodes/VSMB3940X01\VSMB3940X01.pdf;None
VSMB3940X01;Enlarge;surface mount;PLCC-2;3.5 x 2.8 x 1.75;940;13;60;15;;Yes;image/ir-emitting-diodes/81894.png;Datasheet\/ir-emitting-diodes/VSMB3940X01\VSMB3940X01.pdf;None
VSMD66694;Enlarge;surface-mount;square PCB;2 x 2 x 0.87;660;2.3;60;10;;No;image/ir-emitting-diodes/84324.png;Datasheet\/ir-emitting-diodes/VSMD66694\VSMD66694.pdf;None
VSML3710;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;940;9.5;60;15;;Yes;image/ir-emitting-diodes/81300.png;Datasheet\/ir-emitting-diodes/VSML3710\VSML3710.pdf;None
VSMY12850;Enlarge;surface-mount;Top view;3.2 x 1.6 x 1.1;850;16;40;10;;No;image/ir-emitting-diodes/84234.png;Datasheet\/ir-emitting-diodes/VSMY12850\VSMY12850.pdf;None
VSMY12940;Enlarge;surface-mount;Top view;3.2 x 1.6 x 1.1;940;16;40;10;;No;image/ir-emitting-diodes/84233.png;Datasheet\/ir-emitting-diodes/VSMY12940\VSMY12940.pdf;None
VSMY14940;Enlarge;surface-mount;Side view lens;3.0 x 2.51 x 1.2;940;90;9;5;;No;image/ir-emitting-diodes/84209.png;Datasheet\/ir-emitting-diodes/VSMY14940\VSMY14940.pdf;None
VSMY1850;Enlarge;surface mount;0805;2 x 1.25 x 0.85;850;10;60;10;;No;image/ir-emitting-diodes/83397.png;Datasheet\/ir-emitting-diodes/VSMY1850\VSMY1850.pdf;None
VSMY1850ITX01;Enlarge;surface mount;0805;2 x 1.25 x 0.85;850;10;60;10;;Yes;image/ir-emitting-diodes/84272.png;Datasheet\/ir-emitting-diodes/VSMY1850ITX01\VSMY1850ITX01.pdf;None
VSMY1850X01;Enlarge;surface mount;0805;2 x 1.25 x 0.85;850;10;60;10;;Yes;image/ir-emitting-diodes/83317.png;Datasheet\/ir-emitting-diodes/VSMY1850X01\VSMY1850X01.pdf;None
VSMY1940ITX01;Enlarge;surface mount;0805;2 x 1.25 x 0.85;940;10;60;10;;Yes;image/ir-emitting-diodes/84271.png;Datasheet\/ir-emitting-diodes/VSMY1940ITX01\VSMY1940ITX01.pdf;None
VSMY1940X01;Enlarge;surface mount;0805;2 x 1.25 x 0.85;940;10;60;10;;Yes;image/ir-emitting-diodes/84214.png;Datasheet\/ir-emitting-diodes/VSMY1940X01\VSMY1940X01.pdf;None
VSMY1943X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.85;940;6;60;5;;Yes;image/ir-emitting-diodes/80237.png;Datasheet\/ir-emitting-diodes/VSMY1943X01\VSMY1943X01.pdf;Datasheet\/ir-emitting-diodes/VSMY1943X01\VSMY1943X01.zip
VSMY23851;Enlarge;surface-mount;MiniLED;2.3 x 1.3 x 1.4;850;15;60;7;;No;image/ir-emitting-diodes/80259.png;Datasheet\/ir-emitting-diodes/VSMY23851\VSMY23851.pdf;None
VSMY23941;Enlarge;surface-mount;MiniLED;2.3 x 1.3 x 1.4;940;15.5;60;5;;No;image/ir-emitting-diodes/80260.png;Datasheet\/ir-emitting-diodes/VSMY23941\VSMY23941.pdf;None
VSMY2850G;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.8;850;125;10;10;;No;image/ir-emitting-diodes/83398.png;Datasheet\/ir-emitting-diodes/VSMY2850G\VSMY2850G.pdf;None
VSMY2850GX01;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.8;850;125;10;10;;Yes;image/ir-emitting-diodes/84898.png;Datasheet\/ir-emitting-diodes/VSMY2850GX01\VSMY2850GX01.pdf;None
VSMY2850RG;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.8;850;125;10;10;;No;image/ir-emitting-diodes/83398.png;Datasheet\/ir-emitting-diodes/VSMY2850RG\VSMY2850RG.pdf;None
VSMY2850RGX01;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.8;850;125;10;10;;Yes;image/ir-emitting-diodes/84898.png;Datasheet\/ir-emitting-diodes/VSMY2850RGX01\VSMY2850RGX01.pdf;None
VSMY2853G;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.55;850;50;28;10;;No;image/ir-emitting-diodes/83480.png;Datasheet\/ir-emitting-diodes/VSMY2853G\VSMY2853G.pdf;None
VSMY2853GX01;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.55;850;50;28;10;;Yes;image/ir-emitting-diodes/84904.png;Datasheet\/ir-emitting-diodes/VSMY2853GX01\VSMY2853GX01.pdf;None
VSMY2853RG;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.55;850;50;28;10;;No;image/ir-emitting-diodes/83480.png;Datasheet\/ir-emitting-diodes/VSMY2853RG\VSMY2853RG.pdf;None
VSMY2853RGX01;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.55;850;50;28;10;;Yes;image/ir-emitting-diodes/84904.png;Datasheet\/ir-emitting-diodes/VSMY2853RGX01\VSMY2853RGX01.pdf;None
VSMY2853SL;Enlarge;surface-mount;Side view lens;2.3 x 2.55 x 2.3;850;50;28;10;;No;image/ir-emitting-diodes/83481.png;Datasheet\/ir-emitting-diodes/VSMY2853SL\VSMY2853SL.pdf;None
VSMY2853SLX01;Enlarge;surface-mount;Side view lens;2.3 x 2.55 x 2.3;850;50;28;10;;Yes;image/ir-emitting-diodes/84946.png;Datasheet\/ir-emitting-diodes/VSMY2853SLX01\VSMY2853SLX01.pdf;None
VSMY2890GX01;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.8;890;135;10;15;;Yes;image/ir-emitting-diodes/84970.png;Datasheet\/ir-emitting-diodes/VSMY2890GX01\VSMY2890GX01.pdf;None
VSMY2890RGX01;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.8;890;135;10;15;;Yes;image/ir-emitting-diodes/84970.png;Datasheet\/ir-emitting-diodes/VSMY2890RGX01\VSMY2890RGX01.pdf;None
VSMY2893GX01;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.55;890;50;28;15;;Yes;image/ir-emitting-diodes/80145.png;Datasheet\/ir-emitting-diodes/VSMY2893GX01\VSMY2893GX01.pdf;None
VSMY2893RGX01;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.55;890;50;28;15;;Yes;image/ir-emitting-diodes/80145.png;Datasheet\/ir-emitting-diodes/VSMY2893RGX01\VSMY2893RGX01.pdf;None
VSMY2893SLX01;Enlarge;surface-mount;Side view lens;2.3 x 2.3 x 2.55;890;50;28;15;;Yes;image/ir-emitting-diodes/80145.png;Datasheet\/ir-emitting-diodes/VSMY2893SLX01\VSMY2893SLX01.pdf;None
VSMY2940G;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.8;940;145;10;10;;No;image/ir-emitting-diodes/84221.png;Datasheet\/ir-emitting-diodes/VSMY2940G\VSMY2940G.pdf;None
VSMY2940GX01;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.8;940;145;10;10;;Yes;image/ir-emitting-diodes/84583.png;Datasheet\/ir-emitting-diodes/VSMY2940GX01\VSMY2940GX01.pdf;None
VSMY2940RG;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.8;940;145;10;10;;No;image/ir-emitting-diodes/84221.png;Datasheet\/ir-emitting-diodes/VSMY2940RG\VSMY2940RG.pdf;None
VSMY2940RGX01;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.8;940;145;10;10;;Yes;image/ir-emitting-diodes/84583.png;Datasheet\/ir-emitting-diodes/VSMY2940RGX01\VSMY2940RGX01.pdf;None
VSMY2941GX01;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.8;940;160;8;5;;Yes;image/ir-emitting-diodes/84573.png;Datasheet\/ir-emitting-diodes/VSMY2941GX01\VSMY2941GX01.pdf;None
VSMY2941RGX01;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.8;940;160;8;5;;Yes;image/ir-emitting-diodes/84573.png;Datasheet\/ir-emitting-diodes/VSMY2941RGX01\VSMY2941RGX01.pdf;None
VSMY294310G;Enlarge;surface mount;Gullwing;2.3 x 2.3 x 2.55;940;25;25;10;;No;image/ir-emitting-diodes/84338.png;Datasheet\/ir-emitting-diodes/VSMY294310G\VSMY294310G.pdf;None
VSMY294310RG;Enlarge;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;940;25;25;10;;No;image/ir-emitting-diodes/84338.png;Datasheet\/ir-emitting-diodes/VSMY294310RG\VSMY294310RG.pdf;None
VSMY294310SL;Enlarge;surface mount;Side view lens;2.3 x 2.55 x 2.3;940;25;25;10;;No;image/ir-emitting-diodes/84230.png;Datasheet\/ir-emitting-diodes/VSMY294310SL\VSMY294310SL.pdf;None
VSMY2943G;Enlarge;surface-mount;Gullwing;2.3 x 2.3 x 2.55;940;50;28;10;;No;image/ir-emitting-diodes/84252.png;Datasheet\/ir-emitting-diodes/VSMY2943G\VSMY2943G.pdf;None
VSMY2943GX01;Enlarge;surface mount;Gullwing;2.3 x 2.3 x 2.55;940;50;28;10;;Yes;image/ir-emitting-diodes/84891.png;Datasheet\/ir-emitting-diodes/VSMY2943GX01\VSMY2943GX01.pdf;None
VSMY2943RG;Enlarge;surface-mount;Reverse gullwing;2.3 x 2.3 x 2.55;940;50;28;10;;No;image/ir-emitting-diodes/84252.png;Datasheet\/ir-emitting-diodes/VSMY2943RG\VSMY2943RG.pdf;None
VSMY2943RGX01;Enlarge;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;940;50;28;10;;Yes;image/ir-emitting-diodes/84891.png;Datasheet\/ir-emitting-diodes/VSMY2943RGX01\VSMY2943RGX01.pdf;None
VSMY2943SL;Enlarge;surface-mount;Side view lens;2.3 x 2.55 x 2.3;940;50;28;10;;No;image/ir-emitting-diodes/84253.png;Datasheet\/ir-emitting-diodes/VSMY2943SL\VSMY2943SL.pdf;None
VSMY2943SLX01;Enlarge;surface mount;Side view lens;2.3 x 2.55 x 2.3;940;50;28;10;;Yes;image/ir-emitting-diodes/84890.png;Datasheet\/ir-emitting-diodes/VSMY2943SLX01\VSMY2943SLX01.pdf;None
VSMY3850;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;850;17;60;10;;No;image/ir-emitting-diodes/83399.png;Datasheet\/ir-emitting-diodes/VSMY3850\VSMY3850.pdf;None
VSMY385010;Enlarge;surface mount;PLCC-2;3.5 x 2.8 x 1.75;850;9;60;10;;No;image/ir-emitting-diodes/84294.png;Datasheet\/ir-emitting-diodes/VSMY385010\VSMY385010.pdf;None
VSMY385010X01;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;850;12;60;7;;Yes;image/ir-emitting-diodes/84590.png;Datasheet\/ir-emitting-diodes/VSMY385010X01\VSMY385010X01.pdf;None
VSMY385011X02;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;850;12;60;25;;Yes;image/ir-emitting-diodes/80308.png;Datasheet\/ir-emitting-diodes/VSMY385011X02\VSMY385011X02.pdf;None
VSMY3850X01;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;850;17;60;10;;Yes;image/ir-emitting-diodes/80225.png;Datasheet\/ir-emitting-diodes/VSMY3850X01\VSMY3850X01.pdf;None
VSMY3890X01;Enlarge;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;890;18;60;15;;Yes;image/ir-emitting-diodes/84945.png;Datasheet\/ir-emitting-diodes/VSMY3890X01\VSMY3890X01.pdf;None
VSMY3940X01;Enlarge;surface mount;PLCC-2;3.5 x 2.8 x 1.75;940;15;60;10;;Yes;image/ir-emitting-diodes/84220.png;Datasheet\/ir-emitting-diodes/VSMY3940X01\VSMY3940X01.pdf;None
VSMY4850X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;850;8;60;7;;Yes;image/ir-emitting-diodes/80240.png;Datasheet\/ir-emitting-diodes/VSMY4850X01\VSMY4850X01.pdf;None
VSMY5850;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;850;13;60;7;;No;image/ir-emitting-diodes/80137.png;Datasheet\/ir-emitting-diodes/VSMY5850\VSMY5850.pdf;None
VSMY5850X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;850;13;60;7;;Yes;image/ir-emitting-diodes/84915.png;Datasheet\/ir-emitting-diodes/VSMY5850X01\VSMY5850X01.pdf;None
VSMY5890;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;890;13;60;7;;No;image/ir-emitting-diodes/80138.png;Datasheet\/ir-emitting-diodes/VSMY5890\VSMY5890.pdf;None
VSMY5890X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;890;13;60;7;;Yes;image/ir-emitting-diodes/84952.png;Datasheet\/ir-emitting-diodes/VSMY5890X01\VSMY5890X01.pdf;None
VSMY5940;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;940;13;60;7;;No;image/ir-emitting-diodes/80139.png;Datasheet\/ir-emitting-diodes/VSMY5940\VSMY5940.pdf;None
VSMY5940X01;Enlarge;surface-mount;0805;2 x 1.25 x 0.8;940;13;60;7;;Yes;image/ir-emitting-diodes/84886.png;Datasheet\/ir-emitting-diodes/VSMY5940X01\VSMY5940X01.pdf;None
VSMY98145DS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;810;500;45;30;;No;image/ir-emitting-diodes/84368.png;Datasheet\/ir-emitting-diodes/VSMY98145DS\VSMY98145DS.pdf;None
VSMY98525DS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 3.00;850;1000;25;14;;No;image/ir-emitting-diodes/84908.png;Datasheet\/ir-emitting-diodes/VSMY98525DS\VSMY98525DS.pdf;None
VSMY98545;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;850;380;45;15;;No;image/ir-emitting-diodes/81223.png;Datasheet\/ir-emitting-diodes/VSMY98545\VSMY98545.pdf;None
VSMY9854535;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;850;370;45;15;;No;image/ir-emitting-diodes/84358.png;Datasheet\/ir-emitting-diodes/VSMY9854535\VSMY9854535.pdf;None
VSMY98545ADS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 2.24;850;630;45;14;;No;image/ir-emitting-diodes/84390.png;Datasheet\/ir-emitting-diodes/VSMY98545ADS\VSMY98545ADS.pdf;None
VSMY9857535;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 1.51;850;180;75;30;;No;image/ir-emitting-diodes/84359.png;Datasheet\/ir-emitting-diodes/VSMY9857535\VSMY9857535.pdf;None
VSMY98575ADS;Enlarge;surface-mount;High power with lens;3.85 x 3.85 x 1.51;850;320;75;14;;No;image/ir-emitting-diodes/84391.png;Datasheet\/ir-emitting-diodes/VSMY98575ADS\VSMY98575ADS.pdf;None
